,ADM1_FR,ADM1_PCODE,ADM2_FR,ADM2_PCODE,Preci_janvier_mean,Preci_janvier_min,Preci_janvier_max,Preci_fevrier_mean,Preci_fevrier_min,Preci_fevrier_max,Preci_mars_mean,Preci_mars_min,Preci_mars_max,Preci_avril_mean,Preci_avril_min,Preci_avril_max,Preci_mai_mean,Preci_mai_min,Preci_mai_max,Preci_juin_mean,Preci_juin_min,Preci_juin_max,Preci_juillet_mean,Preci_juillet_min,Preci_juillet_max,Preci_aout_mean,Preci_aout_min,Preci_aout_max,Preci_septembre_mean,Preci_septembre_min,Preci_septembre_max,Preci_octobre_mean,Preci_octobre_min,Preci_octobre_max,Preci_novembre_mean,Preci_novembre_min,Preci_novembre_max,Preci_decembre_mean,Preci_decembre_min,Preci_decembre_max,Année,RcsiMoyProv
0,Boucle du Mouhoun,BF46,Balé,BF4601,0.895123244737679,0.0,1.04023122787476,1.00118116556473,0.616728067398071,1.3432195186615,9.52333321661319,5.95764446258545,17.3822498321533,48.7962808249132,37.748706817627,58.6566848754883,109.199602019112,97.4800643920898,119.457534790039,167.725002000917,156.914047241211,181.091323852539,252.297995657291,246.928985595703,262.001220703125,296.369483659852,282.773559570312,307.212493896484,155.32293809135,138.880218505859,168.172714233398,15.9203486622504,14.3834714889526,17.7705535888672,3.78928510085592,2.45681095123291,5.55786609649658,0.568468383460675,0.353001713752747,0.828910171985626,2014,8.396954099978847
1,Centre-Nord,BF49,Bam,BF4901,0.109375,0.0,1.0,0.223958333333333,0.0,1.0,2.33392071227233,1.74625515937805,4.11191177368164,19.8910677780708,11.2625226974487,27.7733993530273,50.7911507487297,36.893196105957,66.1374435424805,127.598660230637,99.636344909668,141.369674682617,217.486234505971,187.09391784668,244.460433959961,239.527905305227,215.697509765625,252.526214599609,101.301880160968,88.9606628417969,114.385322570801,12.9490348498027,11.2636671066284,14.5646276473999,0.570639638230205,0.0,1.0,1.0,1.0,1.0,2014,3.293334862911552
2,Boucle du Mouhoun,BF46,Banwa,BF4602,0.339588181149188,0.0,1.48820769786835,1.46117132902145,0.521126389503479,1.94925165176392,3.99788306771422,2.57107186317444,5.74764728546143,29.3113063908309,24.9413166046143,34.6656150817871,90.4874699270125,82.8965454101562,97.3197860717773,175.530994113401,160.391860961914,183.575454711914,266.221875142708,246.155380249023,277.8388671875,276.688683379468,268.699005126953,295.294158935547,143.777324786289,123.788307189941,158.052703857422,21.4559446032956,16.4339447021484,26.704906463623,4.76478748784648,2.17744040489197,6.54211044311523,1.50929629824144,0.667496621608734,2.31410002708435,2014,2.754674577490112
3,Centre-Sud,BF51,Bazèga,BF5101,0.0,0.0,0.0,0.907997450563643,0.700010240077972,1.68072700500488,9.45043574439155,6.61292600631714,14.6179428100586,43.354780515035,35.3087959289551,50.5932922363281,94.0796826680501,84.9132461547852,102.673263549805,144.472180175781,135.81982421875,155.804946899414,260.42123658922,246.157241821289,274.659362792969,274.778533596463,265.286926269531,279.767303466797,130.207310697767,117.140663146973,141.587112426758,13.2442441781362,12.2382078170776,14.8498601913452,1.19005479183462,0.550619542598724,1.76585018634796,0.98799273636606,0.630210280418396,1.34511697292328,2014,5.822796523348425
4,Sud-Ouest,BF57,Bougouriba,BF5701,2.71716577446822,1.70991158485413,3.62747192382812,1.69738779194427,1.04762148857117,2.56126546859741,22.4480709162625,16.6136665344238,27.2421894073486,53.5468412746083,47.2774353027344,57.8778533935547,117.436441594904,108.583351135254,123.723640441895,165.165251413981,154.163330078125,170.622406005859,249.045710708156,241.879455566406,254.171264648438,284.064806157892,266.193267822266,300.148498535156,183.521020137902,175.643539428711,192.507919311523,21.9961383992975,18.4231128692627,28.4474925994873,9.09570682048798,5.48591899871826,14.202320098877,0.777159527395711,0.341058611869812,1.06490337848663,2014,8.841050893075606
5,Centre-Est,BF48,Boulgou,BF4801,0.464732793280453,0.0,1.0,2.20635525926799,1.58569896221161,3.32555627822876,16.776797601947,9.45982551574707,24.0564441680908,38.5529650184403,32.8580169677734,48.7665939331055,98.5626683282694,85.6697311401367,116.546691894531,131.490622485595,121.661987304688,144.629989624023,239.272002261342,226.102676391602,249.289108276367,270.226503796752,258.249542236328,284.763488769531,150.923233691244,133.057281494141,173.470245361328,14.4133831892299,11.7044057846069,17.884729385376,1.14462727506295,0.688425302505493,2.51117897033691,0.992020848581561,0.487155914306641,1.44543862342834,2014,3.918282611671305
6,Centre-Ouest,BF50,Boulkiemdé,BF5001,0.126499024304477,0.0,1.0,0.838765467182871,0.62423038482666,1.48821032047272,7.837411923842,5.07950210571289,10.8415126800537,38.8249634738174,28.3583011627197,47.6526260375977,94.0263197319359,82.3856201171875,100.682754516602,148.585122870486,135.294860839844,156.421829223633,253.54188924543,249.072784423828,262.156585693359,267.141383120888,246.931869506836,280.809906005859,125.238265370638,116.824821472168,136.238128662109,12.4220026645934,11.2306442260742,14.1571741104126,1.02169929280806,0.621788263320923,2.04744410514832,0.637510799049761,0.0,0.988148868083954,2014,1.6479689103974189
7,Cascades,BF47,Comoé,BF4701,3.32437515258789,1.66859865188599,4.53803396224976,4.79472476072272,1.82483458518982,7.87210035324097,22.809916463572,14.79026222229,32.4872245788574,80.2870655818568,53.8731918334961,107.347412109375,108.506274051954,92.6071166992188,126.900375366211,158.236727637355,134.508911132812,175.985076904297,231.721024647989,186.364181518555,268.797882080078,271.756459198207,219.789047241211,318.985534667969,208.968404866704,183.624572753906,230.512130737305,42.2724364637838,26.0148601531982,62.1389579772949,21.0292408633134,12.3144226074219,31.9578838348389,1.91308248688982,0.66426032781601,4.02837467193604,2014,6.926491792369122
8,Plateau-Central,BF55,Ganzourgou,BF5501,0.0145631067961165,0.0,1.0,1.08085812671671,0.7709881067276,1.79308986663818,6.63224019356144,3.57575702667236,11.0436906814575,33.5934246581735,29.5151081085205,37.5314636230469,81.4404361317459,64.2060089111328,91.7828750610352,140.755708638904,133.109558105469,149.508316040039,237.720198770171,227.149749755859,246.557830810547,266.204922796453,248.629760742188,277.382019042969,133.021469190283,118.533576965332,156.247283935547,13.6566049798021,11.9910717010498,15.0111980438232,0.77830877350372,0.524895668029785,1.17738783359528,0.687513578285291,0.640924692153931,0.818045198917389,2014,3.0892754101063398
9,Est,BF52,Gnagna,BF5201,0.0,0.0,0.0,0.29954954954955,0.0,1.0,3.60507135455673,2.01179170608521,8.32018947601318,25.8679268574929,15.938458442688,34.8480682373047,50.2930307817889,35.9225730895996,72.2919998168945,124.403966474103,112.467765808105,143.719207763672,180.111260388349,152.140472412109,225.002593994141,233.234401221748,214.319290161133,267.392211914062,145.784862191827,121.050643920898,178.928848266602,10.7291748394837,8.54493045806885,12.9190502166748,1.42289252163054,0.0,2.24612808227539,0.412869357847953,0.0,0.941011250019073,2014,1.768588279412266
10,Est,BF52,Gourma,BF5202,0.0,0.0,0.0,1.05849339152924,0.810713946819305,1.95927512645721,10.0412442484736,2.18698596954346,18.2867202758789,22.5328794060551,7.04526472091675,35.9947967529297,71.1084051386032,37.3640747070312,85.872428894043,129.672437065908,113.887969970703,144.163940429688,190.886890773991,149.139785766602,237.608764648438,243.259511505243,201.607650756836,275.263793945312,192.26403089168,164.472381591797,222.928436279297,12.049134923478,7.44751358032227,14.2263641357422,0.950109414501335,0.0,1.57758283615112,0.435047516351417,0.0,1.49192905426025,2014,4.91805876072056
11,Hauts-Bassins,BF53,Houet,BF5301,1.56063393365353,0.0,4.36085844039917,1.65148352887652,0.509274005889893,4.28307342529297,10.3875271482205,4.04820156097412,19.9481830596924,41.7708945738066,27.7047519683838,62.5819358825684,99.6600438529198,91.2512969970703,115.138374328613,176.086042407675,164.153472900391,186.075592041016,253.97215436183,243.227310180664,277.920471191406,284.449538036661,266.291015625,307.747253417969,167.702330087084,147.674850463867,192.093368530273,23.958283429627,18.8515739440918,32.1281814575195,9.7026101978547,4.65454530715942,18.4588184356689,0.773259905554833,0.0,2.22680449485779,2014,1.2845585424894892
12,Sud-Ouest,BF57,Ioba,BF5702,1.44374055581488,0.707908570766449,3.06879329681396,1.35517824303572,1.06802558898926,1.72847485542297,21.9069645450373,15.4348573684692,28.0643634796143,54.6706348589272,49.813362121582,57.5297431945801,118.437889342095,107.403511047363,126.882316589355,163.142357698671,147.190505981445,171.475646972656,257.598678297298,238.03401184082,266.178405761719,297.344457152543,286.386383056641,306.950592041016,176.672891215914,166.769393920898,185.398941040039,18.1446832243804,15.9605512619019,20.3733100891113,5.08975498539627,3.29207563400269,8.80977153778076,0.606422771314147,0.324189215898514,1.11352038383484,2014,2.1703325251125736
13,Centre,BF13,Kadiogo,BF1300,0.0,0.0,0.0,1.04231046693666,0.748421370983124,1.74120020866394,7.00491095270429,4.86725997924805,9.88005352020264,34.4756089891706,30.0649642944336,40.7363815307617,85.7842332567487,75.9457015991211,98.8816680908203,141.1702293396,136.144058227539,152.174331665039,252.713687787737,245.717224121094,259.047271728516,263.50963973999,253.688079833984,271.510894775391,118.31950868879,113.825462341309,131.465362548828,12.9569538457053,12.0325946807861,16.3251209259033,0.651866952010563,0.583992183208466,1.29290163516998,0.416192714657102,0.0,0.813432276248932,2014,3.882629107981221
14,Hauts-Bassins,BF53,Kénédougou,BF5302,1.77368884146214,0.0,2.45756769180298,2.05943315833807,0.51862895488739,4.43422031402588,8.95239752352238,3.75940012931824,17.0995578765869,45.8577539587021,29.3743743896484,69.4028167724609,91.8985378074646,84.0348205566406,100.648017883301,179.131944618225,162.44384765625,186.492141723633,269.986603927612,260.362457275391,281.283325195312,312.105535202026,291.410888671875,326.650299072266,169.157904510498,148.905944824219,190.02294921875,29.1073232030869,22.2902793884277,40.5162353515625,9.93510685920715,5.40933704376221,20.0457992553711,1.44751231878996,0.789937853813171,2.88073253631592,2014,2.451690383395269
15,Est,BF52,Komandjari,BF5203,0.0,0.0,0.0,0.6,0.0,1.0,4.39549044469992,2.14145112037659,7.87830066680908,14.0610493898392,7.40257263183594,26.1673965454102,46.6640989303589,35.2419891357422,64.6475677490234,116.440752919515,106.641044616699,124.849449157715,165.584789212545,150.353775024414,178.853225708008,224.21789855957,204.373809814453,242.577880859375,161.580003039042,144.762313842773,185.408615112305,10.140924123923,7.93136692047119,11.9852151870728,1.0181672938168,0.612419128417969,2.0,0.189066272974014,0.0,0.921807110309601,2014,8.39662616418923
