Shape_Leng,Shape_Area,ADM2_FR,ADM2_PCODE,ADM2_REF,ADM2ALT1FR,ADM2ALT2FR,ADM1_FR,ADM1_PCODE,ADM0_FR,ADM0_PCODE,date,validOn,validTo,Preci_juin_2015mean,Preci_juin_2015min,Preci_juin_2015max
5.08060572541,0.37603953635,Balé,BF4601,Bale,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020/03/18,2020/03/23,,348.898093025639,333.238922119141,358.830657958984
3.08247554442,0.33348285523,Bam,BF4901,,,,Centre-Nord,BF49,Burkina Faso,BF,2020/03/18,2020/03/23,,260.851451317469,228.235626220703,284.790313720703
5.37418527303,0.48351948240,Banwa,BF4602,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020/03/18,2020/03/23,,350.769359231853,329.030975341797,362.051300048828
3.87903464300,0.30864053369,Bazèga,BF5101,Bazega,,,Centre-Sud,BF51,Burkina Faso,BF,2020/03/18,2020/03/23,,328.576950581869,313.852203369141,339.790374755859
3.35151630410,0.22739934162,Bougouriba,BF5701,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020/03/18,2020/03/23,,318.155321756999,304.119964599609,329.882568359375
5.54415254398,0.52646857154,Boulgou,BF4801,,,,Centre-Est,BF48,Burkina Faso,BF,2020/03/18,2020/03/23,,329.736060462521,308.885131835938,341.897216796875
4.20528686611,0.35472143584,Boulkiemdé,BF5001,Boulkiemde,,,Centre-Ouest,BF50,Burkina Faso,BF,2020/03/18,2020/03/23,,304.969847172641,270.261993408203,322.625274658203
8.45663022126,1.26143312419,Comoé,BF4701,Comoe,,,Cascades,BF47,Burkina Faso,BF,2020/03/18,2020/03/23,,294.387469633126,206.981811523438,360.499633789062
3.69106435873,0.35740865029,Ganzourgou,BF5501,,,,Plateau-Central,BF55,Burkina Faso,BF,2020/03/18,2020/03/23,,312.419026198896,283.452087402344,329.714874267578
6.64565291962,0.77043525196,Gnagna,BF5201,,,,Est,BF52,Burkina Faso,BF,2020/03/18,2020/03/23,,252.494668668455,223.695556640625,300.200134277344
7.92828632128,0.91148628061,Gourma,BF5202,,,,Est,BF52,Burkina Faso,BF,2020/03/18,2020/03/23,,282.099477470601,233.775375366211,313.402893066406
7.48026827085,0.94321173302,Houet,BF5301,,,,Hauts-Bassins,BF53,Burkina Faso,BF,2020/03/18,2020/03/23,,343.421819452408,312.91162109375,367.044006347656
3.52302810348,0.27250629124,Ioba,BF5702,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020/03/18,2020/03/23,,329.385553639406,317.100646972656,342.452911376953
3.28716824267,0.24830211969,Kadiogo,BF1300,,,,Centre,BF13,Burkina Faso,BF,2020/03/18,2020/03/23,,310.675473022461,296.302429199219,322.934814453125
4.99390351331,0.69568620628,Kénédougou,BF5302,Kenedougou,,,Hauts-Bassins,BF53,Burkina Faso,BF,2020/03/18,2020/03/23,,360.251566848755,340.824737548828,368.385620117188
4.65656916863,0.42399176665,Komandjari,BF5203,,,,Est,BF52,Burkina Faso,BF,2020/03/18,2020/03/23,,250.839631525675,230.334381103516,269.871673583984
5.53976527700,0.57884020519,Kompienga,BF5204,,,,Est,BF52,Burkina Faso,BF,2020/03/18,2020/03/23,,302.022565634854,284.312225341797,333.921508789062
4.39550028031,0.61722796275,Kossi,BF4603,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020/03/18,2020/03/23,,318.739780165932,293.916015625,347.122039794922
