Shape_Leng,Shape_Area,ADM2_FR,ADM2_PCODE,ADM2_REF,ADM2ALT1FR,ADM2ALT2FR,ADM1_FR,ADM1_PCODE,ADM0_FR,ADM0_PCODE,date,validOn,validTo,Preci_fevv_2017mean,Preci_fevv_2017min,Preci_fevv_2017max
5.08060572541,0.37603953635,Balé,BF4601,Bale,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020/03/18,2020/03/23,,1.00118116556473,0.616728067398071,1.3432195186615
3.08247554442,0.33348285523,Bam,BF4901,,,,Centre-Nord,BF49,Burkina Faso,BF,2020/03/18,2020/03/23,,0.223958333333333,0,1
5.37418527303,0.48351948240,Banwa,BF4602,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020/03/18,2020/03/23,,1.45274532205767,0.483854204416275,1.94925165176392
3.87903464300,0.30864053369,Bazèga,BF5101,Bazega,,,Centre-Sud,BF51,Burkina Faso,BF,2020/03/18,2020/03/23,,0.780650758081012,0.663230419158936,1.40260136127472
3.35151630410,0.22739934162,Bougouriba,BF5701,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020/03/18,2020/03/23,,1.25923403013836,0.857006371021271,1.57235658168793
5.54415254398,0.52646857154,Boulgou,BF4801,,,,Centre-Est,BF48,Burkina Faso,BF,2020/03/18,2020/03/23,,1.53700344625898,1.04183661937714,2.0611777305603
4.20528686611,0.35472143584,Boulkiemdé,BF5001,Boulkiemde,,,Centre-Ouest,BF50,Burkina Faso,BF,2020/03/18,2020/03/23,,0.835159720986654,0.621915578842163,1.48821032047272
8.45663022126,1.26143312419,Comoé,BF4701,Comoe,,,Cascades,BF47,Burkina Faso,BF,2020/03/18,2020/03/23,,2.63341203540441,1.13471484184265,5.91172647476196
3.69106435873,0.35740865029,Ganzourgou,BF5501,,,,Plateau-Central,BF55,Burkina Faso,BF,2020/03/18,2020/03/23,,0.929790416388836,0.640315234661102,1.55968511104584
6.64565291962,0.77043525196,Gnagna,BF5201,,,,Est,BF52,Burkina Faso,BF,2020/03/18,2020/03/23,,0.29954954954955,0,1
7.92828632128,0.91148628061,Gourma,BF5202,,,,Est,BF52,Burkina Faso,BF,2020/03/18,2020/03/23,,1.01871351087501,0.661467730998993,1.9058598279953
7.48026827085,0.94321173302,Houet,BF5301,,,,Hauts-Bassins,BF53,Burkina Faso,BF,2020/03/18,2020/03/23,,1.00816439597979,0.429714143276215,1.68631732463837
3.52302810348,0.27250629124,Ioba,BF5702,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020/03/18,2020/03/23,,1.29821662158723,0.987999558448792,1.65780925750732
3.28716824267,0.24830211969,Kadiogo,BF1300,,,,Centre,BF13,Burkina Faso,BF,2020/03/18,2020/03/23,,0.975532375488962,0.701715767383575,1.68160355091095
4.99390351331,0.69568620628,Kénédougou,BF5302,Kenedougou,,,Hauts-Bassins,BF53,Burkina Faso,BF,2020/03/18,2020/03/23,,1.22081487983465,0.398762732744217,3.01912212371826
4.65656916863,0.42399176665,Komandjari,BF5203,,,,Est,BF52,Burkina Faso,BF,2020/03/18,2020/03/23,,0.6,0,1
5.53976527700,0.57884020519,Kompienga,BF5204,,,,Est,BF52,Burkina Faso,BF,2020/03/18,2020/03/23,,0.938515951475465,0.675589382648468,1.45547866821289
4.39550028031,0.61722796275,Kossi,BF4603,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020/03/18,2020/03/23,,0.911446830427105,0,1.94703102111816
3.60030709967,0.43941062026,Koulpélogo,BF4802,Koulpelogo,,,Centre-Est,BF48,Burkina Faso,BF,2020/03/18,2020/03/23,,1.00368498076522,0.616132259368896,1.35559606552124
3.23110068694,0.23544445349,Kourittenga,BF4803,,,,Centre-Est,BF48,Burkina Faso,BF,2020/03/18,2020/03/23,,1.24373885216536,0.819406569004059,1.90758204460144
2.38710329798,0.13388322877,Kourwéogo,BF5502,Kourweogo,,,Plateau-Central,BF55,Burkina Faso,BF,2020/03/18,2020/03/23,,0.922714034988456,0.695486962795258,1.61435234546661
3.24999609269,0.24803678911,Léraba,BF4702,Leraba,,,Cascades,BF47,Burkina Faso,BF,2020/03/18,2020/03/23,,3.32585506036248,2.14064788818359,4.10766363143921
3.12999340113,0.31457115434,Loroum,BF5401,,,,Nord,BF54,Burkina Faso,BF,2020/03/18,2020/03/23,,0,0,0
5.76684319767,0.58406393480,Mouhoun,BF4604,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020/03/18,2020/03/23,,1.26659886751856,0.638673961162567,1.87975907325745
3.56052842802,0.32159959502,Nahouri,BF5102,,,,Centre-Sud,BF51,Burkina Faso,BF,2020/03/18,2020/03/23,,0.878617442743753,0.725548386573792,1.21269369125366
